pctile,inc3_mean,tax_mean,transfer_mean,pubpension_mean,hil_mean,hxit_mean,hxits_mean,hsscer_mean,taxrate_mean,countryyear
58,38949.07,15442.01,2178.188,2261.484,19150.27,685.1611,5120.138,9431.668,.3964943,fr00
59,39527.7,16607.67,1160.538,2428.064,19955.43,950.9818,5342.42,10117.82,.4201699,fr00
60,40122.43,16706.27,1462.398,1572.448,20306.65,676.7331,5403.864,10464.21,.4163937,fr00
61,40782.46,16684.66,1804.685,2431.497,20085.4,890.9382,5371.431,10194.82,.4091042,fr00
62,41332.66,17737.56,1739.88,543.6427,21834.12,759.0001,5843.756,11077.11,.4291532,fr00
63,41958.11,17398.93,1470.71,1982.084,21347.05,682.8635,5707.661,10843.88,.4146778,fr00
64,42627.02,18126.2,1610.395,1288.75,21914.38,835.1478,5862.075,11294.63,.4252155,fr00
65,43249.22,18007.46,1293.548,2822.683,21422.75,1045.301,5722.654,10987.87,.4163122,fr00
66,43841.51,18675.09,1920.452,1052.837,22443.21,876.9594,6000.54,11679.52,.4259653,fr00
67,44570.37,19164.09,1192.989,2239.781,22452.97,1200.41,6018.142,11727.84,.4299729,fr00
68,45219.76,18846.61,2052.363,1922.078,22154.83,1082.518,5914.179,11613.79,.4167228,fr00
69,45888.08,19785.83,1517.984,1573.445,23431.15,1066.977,6258.094,12300.36,.4311665,fr00
70,46613.65,20528.53,1626.196,1443.399,23637.03,1319.741,6307.046,12742.72,.440343,fr00
71,47314.52,20310.23,1544.635,1908.263,23853.92,1165.994,6358.115,12586.52,.4292132,fr00
72,48039.87,21031.8,1980.395,1253.348,24087.46,1425.657,6427.646,12999.98,.4378436,fr00
73,48889.77,21680.97,1381.775,1253.132,25030.42,1230.256,6676.242,13625.59,.4434439,fr00
74,49708.64,21533.23,1226.954,2194.496,25424.73,1234.115,6777.932,13318.52,.4331826,fr00
75,50449.48,22873.75,1124.037,1148.095,26093.28,1721.967,6956.622,14038.13,.4534158,fr00
76,51399.8,22423.13,1246.042,2192.428,26089.33,1432.297,6943.017,13823.47,.4362412,fr00
77,52541.96,23432.4,1473.283,753.6069,27081.8,1333.285,7207.783,14746.48,.4459846,fr00
78,53605.8,24689.41,1125.189,1163.201,27680.79,1785.946,7364.258,15397.03,.460568,fr00
79,54749.9,24274.49,1695.869,2321.98,27215.76,1861.152,7259.642,14898.72,.4433948,fr00
80,55808.24,25005.7,1145.536,1702.29,28730.84,2017.377,7653.601,15116.36,.448017,fr00
81,57262.05,25803.95,1787.675,1655.72,29134.58,1821.844,7725.395,16084.8,.4505906,fr00
82,58725.52,26942.56,1435.324,1049.381,30231.62,2109.282,8007.278,16658.02,.4587147,fr00
83,60259.51,27274.67,1467.817,1466.567,31003.53,1910.942,8191.505,16990.27,.4526458,fr00
84,61797.44,29082.91,648.8126,1341.615,32132.35,2494.495,8517.038,17888.42,.4706288,fr00
85,63368.02,29344.64,1143.653,1147.318,32430.63,2422.623,8572.214,18129.46,.4630622,fr00
86,64776.59,29782.99,920.0018,1895.707,33522.1,2344.957,8870.613,18351.23,.4598424,fr00
87,66554.41,31033.23,844.177,1436.502,34615,2637.279,9131.557,19060.44,.4662656,fr00
88,68314.26,31772.48,1011.551,1453.406,35385.11,2645.714,9325.969,19600.97,.4650619,fr00
89,70314.3,32716.83,1352.363,2019.743,35410.36,3178.447,9360.405,19875.44,.4652488,fr00
90,72290.01,33866.91,1155.516,2212.344,36853.27,3212.576,9709.251,20673.05,.468466,fr00
91,74624.95,35411.49,1146.809,1181.417,38659.11,3497.459,10170.25,21521.05,.4744547,fr00
92,77724.83,37612.12,1438.126,1168.039,39665.29,4181.051,10419.35,22766.37,.483943,fr00
93,81419.91,39589.11,763.5913,372.2814,42981.49,3869.823,11245.59,24320.3,.4862156,fr00
94,85865.84,42719.31,752.7621,757.4991,45024.22,4741.709,11759.98,26054.92,.4974275,fr00
95,90974.18,44306.19,602.902,2286.431,46518.81,5118.718,12069.76,26763.24,.4869697,fr00
96,95283.2,46567.68,658.9749,883.4486,49846.42,4950.116,12989.85,28386.05,.4886631,fr00
97,101763.6,49561.47,805.0103,1301.609,52475.95,5361.018,13618.93,30249.96,.4868408,fr00
98,115127.3,57183.72,2078.6,1325.458,58974.02,7324.988,15074.99,34457.31,.496709,fr00
99,135054.7,69728.45,1156.634,949.3788,68778.66,11054.44,17504.83,40661.32,.5161394,fr00
100,194296.8,104150.6,1084.084,2683.023,97794.02,21593.05,23772.65,57805.6,.5313055,fr00
1,2847.964,266.4785,1824.012,140.0584,505.6777,23.9073,129.5851,101.1851,.084244,fr05
2,6375.269,490.1792,4092.102,623.6511,979.1694,28.89879,216.7879,225.4338,.0782134,fr05
3,7938.531,523.5919,5790.139,531.489,936.9679,12.40404,245.538,250.9689,.0661999,fr05
4,8777.033,653.041,6625.694,349.0387,1133.274,21.70819,304.685,321.1907,.0741295,fr05
5,9452.33,407.8531,7055.733,1276.124,637.279,4.094347,166.3363,228.6731,.0428393,fr05
6,10166.12,823.923,7188.074,474.0254,1613.378,15.68595,399.6105,398.7279,.0805933,fr05
7,10952.74,685.4045,7071.376,1960.224,1119.503,28.26754,267.9472,366.4612,.0623682,fr05
8,11732.11,959.8783,7358.774,1830.144,1583.564,70.80438,410.3712,453.7833,.0816406,fr05
9,12746.3,1793.351,5979.063,1742.951,3128.617,50.18005,815.5461,905.5216,.1409589,fr05
10,13450.11,1864.499,5297.731,2819.826,3185.864,11.16014,841.2446,953.1308,.1388288,fr05
11,14205.62,2655.615,4896.964,2907.51,3496.813,97.03536,896.9909,1562.079,.1862735,fr05
12,15047.16,3200.865,4704.515,2098.662,5054.343,117.5585,1331.271,1688.964,.2131225,fr05
13,15794.81,3519.792,5182.369,1482.269,5405.943,77.48101,1426.133,1929.827,.2232287,fr05
14,16542.65,4128.394,4485.724,1842.231,5797.896,97.61164,1559.283,2390.981,.2497193,fr05
15,17157.41,4145.845,4507.895,2326.432,5908.027,73.69682,1581.516,2402.797,.2415415,fr05
16,17751.31,4466.296,4309.446,2226.79,6758.495,158.4882,1810.917,2357.695,.2514297,fr05
17,18291.85,4512.471,4825.431,2168.134,6561.469,73.46974,1758.449,2568.445,.2465106,fr05
18,18836.25,4835.542,4264.507,2631.562,7007.351,75.70565,1877.716,2796.203,.256585,fr05
19,19352.08,5268.456,3853.748,2138.583,7880.6,94.99391,2114.965,2937.813,.2723267,fr05
20,20059.76,5967.677,3956.292,1545.949,8428.556,181.1301,2229.75,3468.601,.2974445,fr05
21,20464.22,5692.509,3968.657,2473.983,8244.14,147.5832,2190.858,3273.667,.2780577,fr05
22,21068.85,5936.953,4457.899,1561.969,8697.972,91.76482,2279.058,3464.966,.2817883,fr05
23,21704.17,6145.02,4769.987,2244.26,8473.799,186.0507,2267.018,3571.934,.2831253,fr05
24,22248.37,6776.864,3706.843,1778.149,9707.322,44.55453,2580.668,4053.322,.304672,fr05
25,22784.12,6919.002,3760.301,1816.732,10144.67,140.1341,2649.765,4022.98,.303684,fr05
26,23312.59,7357.043,2999.354,2472.742,10020.21,86.52103,2695.385,4408.531,.3155982,fr05
27,23815.92,7008.67,4258.53,2359.234,10045.54,168.1999,2679.327,4008.981,.2942641,fr05
28,24305.71,7178.064,3769.544,2035.537,10716.75,102.1994,2870.018,4071.342,.2953196,fr05
29,24859.65,7696.267,4005.099,2117.086,10299.24,156.0106,2763.853,4572.24,.3095221,fr05
30,25305.33,7734.829,3813.345,3078.191,10563.79,177.6497,2810.391,4530.697,.3055755,fr05
31,25785.98,8582.633,3603.97,1827.737,11501.34,207.9717,3076.926,5182.079,.3327329,fr05
32,26223.9,9337.065,3396.681,780.5487,12574.61,188.5347,3373.944,5704.181,.3559962,fr05
33,26707.95,9664.32,2827.462,1348.62,12720.89,201.6703,3409.635,5936.542,.3618165,fr05
34,27207.48,9241.057,3298.403,2242.208,12350.74,265.5936,3329.266,5466.655,.3395745,fr05
35,27779.81,9442.758,3153.033,2162.36,12765.46,222.9631,3421.913,5641.527,.3398117,fr05
36,28295.13,10444.69,3243.3,682.2748,13820.27,90.22913,3730.433,6565.618,.3690956,fr05
37,28709.17,9849.008,2298.195,2648.513,13687.06,211.0809,3664.721,5759.284,.3430072,fr05
38,29109.5,10182.2,2878.286,2227.994,13379.54,249.2761,3568.356,6159.09,.3498037,fr05
39,29536.7,10665.37,3436.657,1115.378,14218.56,233.9714,3816.888,6515.895,.3610828,fr05
40,29933.13,9793.036,3180.816,3127.435,13375.74,318.856,3572.943,5636.976,.3270984,fr05
41,30408.87,10634.2,3786.98,1649.065,14131.54,221.3157,3799.558,6495.913,.3497072,fr05
42,30800.91,11900.18,2042.608,1041.38,15687.93,216.9456,4234.991,7350.79,.3863507,fr05
43,31307.54,11283.8,2922.688,1681.808,15156.97,211.3936,4066.555,6859.923,.3605103,fr05
44,31811.35,11683.92,2257.705,1895.804,15638.81,253.8515,4192.25,7055.9,.3672531,fr05
45,32292.67,12385.5,2557.009,912.0648,16403.18,284.5141,4407.169,7603.595,.3835118,fr05
46,32736.9,12419.83,2345.786,1299.118,16521.56,328.929,4443.525,7526.828,.3793244,fr05
47,33237.27,12419.56,2159.834,2034.107,16717.73,323.7381,4485.816,7461.147,.3737034,fr05
48,33606.5,12593.78,2378.787,2254.692,16352.71,348.7156,4361.513,7709.439,.3747416,fr05
49,34132.14,12947.05,2437.972,1995.592,16609.45,451.6653,4454.526,7859.835,.3792248,fr05
50,34681.22,12495.13,2642.054,2580.032,16366.67,583.1428,4374.275,7253.035,.360367,fr05
51,35273.02,13802.06,2307.754,2098.731,17348.58,727.845,4676.528,8205.681,.3913194,fr05
52,35797.49,13678.44,1880.297,2309.554,17945.78,489.4266,4831.645,8183.081,.3821353,fr05
53,36299.95,14073.25,2449.667,1460.544,18359.73,370.3589,4919.011,8672.601,.3876456,fr05
54,36767.77,14467.44,1700.092,2402.921,18494.02,610.5557,4907.129,8755.201,.3935486,fr05
55,37301.29,15121.01,1663.515,1176.461,19324.71,495.1071,5197.229,9294.638,.405362,fr05
56,37798.49,15003.61,1258.085,2314.339,19182.39,443.5172,5133.946,9210.981,.3969306,fr05
57,38234.82,14795.33,1990.913,2512.948,18768.92,483.4424,5029.809,9056.037,.3869731,fr05
58,38802.29,15250.97,2397.995,1291.788,19824.96,378.9252,5312.265,9444.485,.3930263,fr05
59,39428.52,15181.68,2260.837,2971.374,18947.46,627.4901,5083.544,9199.843,.3850444,fr05
60,40024.48,16044.87,1690.922,1559.795,20323.13,495.7862,5473.369,9882.265,.4009061,fr05
61,40687.38,16660.24,1557.839,1856.134,20878.61,709.183,5613.297,10162.63,.4094145,fr05
62,41322.52,17202.44,1177.82,2123.275,20871.67,633.4423,5622.038,10740.1,.4163101,fr05
63,41978.14,17198.55,1651.449,1820.061,21349.14,595.105,5717.557,10707.6,.4096998,fr05
64,42557.05,17888.36,1643.542,733.2277,22273.85,564.6371,5980.287,11242.41,.4203421,fr05
65,43190.88,18034.97,1596.255,936.9707,22595.81,677.874,6026.992,11197.19,.4175624,fr05
66,43936.45,18511.95,2362.49,1037.571,22496.19,951.0887,6055.387,11388.4,.4212855,fr05
67,44839.62,18779.44,1863.364,1299.418,23132.11,849.286,6207.279,11574.5,.418813,fr05
68,45441.21,19121.28,1269.637,1115.717,23602.64,579.9722,6349.12,12034.36,.4207841,fr05
69,46079.79,19445.8,1796.953,1887.377,23423.02,1096.759,6283.307,11867.54,.4219831,fr05
70,46823.52,20300.74,1185.818,1303.698,24505.58,1058.513,6576.331,12515.26,.4335532,fr05
71,47563.78,20252.08,2605.815,1003.622,24272.45,1025.428,6517.975,12592.36,.4257746,fr05
72,48372.05,20980.9,1463.737,1758.682,24701.13,1095.816,6586.684,13119.05,.4337062,fr05
73,49160.84,21397.96,1416.812,1218.378,25300.99,1046.662,6773.02,13409.85,.4352858,fr05
74,49924.99,21416.09,1662.683,1672.638,25278.37,1066.743,6730.774,13417.13,.4289519,fr05
75,50708.59,21542.95,1902.719,2378.895,24831.93,1167.373,6631.431,13460.53,.4248866,fr05
76,51547.44,22661.47,1827.815,1066.031,26394.27,1199.042,7095.794,14215.83,.4395754,fr05
77,52385.13,22380.49,1464.347,2444.052,26726.09,1244.692,7117.93,13778.74,.4272033,fr05
78,53353.5,23593.71,2005.463,733.7885,27763.18,1403.946,7444.589,14631.56,.4421941,fr05
79,54348.01,23269.56,1730.961,1961.712,27391.38,1099.168,7298.388,14650.38,.4281641,fr05
80,55305.42,24578.03,1073.335,1540.108,28185.71,1456.716,7535.913,15347.65,.4443907,fr05
81,56251.85,25509.79,871.764,1764.096,28984.45,1592.622,7779.088,15948.27,.4534581,fr05
82,57321.61,25258.25,1200.091,1631.554,29472.97,1424.671,7883.031,15728.64,.4406426,fr05
83,58481.34,26433.48,1075.341,884.1378,30279.71,1657.351,8042.87,16538.15,.4520221,fr05
84,59701.86,26465.2,1187.431,989.5739,31245.81,1470.156,8311.49,16501.44,.4432885,fr05
85,61141,27314.18,920.7271,3396.845,30391.81,2151.558,8096.978,16698.97,.4466962,fr05
86,62789.27,27638.54,1350.745,2032.192,31932.98,1702.084,8470.221,17187.6,.4401332,fr05
87,64705.3,29923.1,666.5878,1206.403,33879.69,2182.628,9022.896,18519.92,.4624325,fr05
88,66175.46,30357.49,1120.144,2603.951,32812.71,2582.781,8715.162,18698.56,.4587443,fr05
89,68082.52,31319.58,1571.675,1593.879,34767.85,2417.123,9167.158,19505.22,.4600066,fr05
90,70504.57,33031.07,920.9567,1174.311,36395.62,2496.306,9645.591,20670.76,.468455,fr05
91,72984.34,33755.53,971.1884,2387.922,37130.46,2640.946,9823.708,20994.7,.4624785,fr05
92,75481.28,35608.63,1266.409,733.6863,39094.12,3173.605,10256.73,21953.22,.471755,fr05
93,78862.99,36792.93,1188.179,1054.891,40251.88,3066.135,10570.91,22845.72,.4666859,fr05
94,82408.51,39072.08,1203.882,1240.086,42222.18,3415.845,11043.76,24336.66,.4741244,fr05
95,86397.61,39918.88,1331.408,3058.713,43501.78,3674.403,11391.55,24440.7,.4619463,fr05
96,92069.02,43538.63,729.4446,2262.078,45870.52,4383.145,11982.07,26648.06,.4728048,fr05
97,99060,47214.83,714.5104,910.7715,50933.25,4455.873,13181.63,29182.12,.4765001,fr05
98,109597.9,54303.93,1131.153,2124.867,55276.52,7680.416,14173.54,31901.5,.4949837,fr05
99,125496.6,62599.52,1234.551,2579.219,64117.09,8492.275,16430.77,37182.21,.4988578,fr05
100,195108,97932.77,1501.641,496.6806,102266.5,15219.5,23701.08,58266.94,.5056978,fr05
1,965.3246,22.79585,752.974,5.348731,81.03446,.2710583,10.11568,3.409603,.0435895,fr10
2,3576.118,192.7505,2609.989,93.11207,504.1999,3.459893,98.60031,75.07152,.0513467,fr10
3,6087.456,455.7018,3964.856,476.7527,1014.657,4.331246,221.2335,214.4927,.0770811,fr10
4,7841.383,514.9834,6064.05,324.2262,887.0248,3.537283,206.9006,299.7922,.0666648,fr10
5,9138.655,661.259,6411.402,880.7902,1084.022,12.86291,280.8874,357.5867,.072796,fr10
6,9918.347,552.0576,7853.903,628.5439,870.4998,5.450586,224.9879,319.9841,.0553433,fr10
7,10659.97,737.1324,7043.356,1268.402,1507.338,12.42496,382.8777,331.7232,.0690435,fr10
8,11582.48,1001.357,7927.59,808.3895,1742.961,15.45725,455.9463,519.6488,.0861979,fr10
